"Mod ID","Mod name","Mod version"
"fabric-game-rule-api-v1","Fabric Game Rule API (v1)","1.0.41+1802ada577"
"fabric-gametest-api-v1","Fabric Game Test API (v1)","1.2.15+1802ada577"
"fabric-item-api-v1","Fabric Item API (v1)","2.1.29+1802ada577"
"fabric-item-group-api-v1","Fabric Item Group API (v1)","4.0.14+1802ada577"
"fabric-key-binding-api-v1","Fabric Key Binding API (v1)","1.0.38+1802ada577"
"fabric-keybindings-v0","Fabric Key Bindings (v0)","0.2.36+df3654b377"
"fabric-language-kotlin","Fabric Language Kotlin","1.13.11+kotlin.2.3.21"
"fabric-lifecycle-events-v1","Fabric Lifecycle Events (v1)","2.2.23+1802ada577"
"fabric-loot-api-v2","Fabric Loot API (v2)","1.2.3+1802ada577"
"fabric-loot-tables-v1","Fabric Loot Tables (v1)","1.1.47+9e7660c677"
"fabric-message-api-v1","Fabric Message API (v1)","5.1.10+1802ada577"
"fabric-mining-level-api-v1","Fabric Mining Level API (v1)","2.1.52+1802ada577"
"fabric-model-loading-api-v1","Fabric Model Loading API (v1)","1.0.4+1802ada577"
"fabric-models-v0","Fabric Models (v0)","0.4.3+9386d8a777"
"fabric-networking-api-v1","Fabric Networking API (v1)","1.3.15+0caff8d077"
"fabric-networking-v0","Fabric Networking (v0)","0.3.55+df3654b377"
"fabric-object-builder-api-v1","Fabric Object Builder API (v1)","11.1.5+e35120df77"
"fabric-particles-v1","Fabric Particles (v1)","1.1.3+1802ada577"
"fabric-permissions-api-v0","fabric-permissions-api","0.3.1"
"fabric-recipe-api-v1","Fabric Recipe API (v1)","1.0.25+1802ada577"
"fabric-registry-sync-v0","Fabric Registry Sync (v0)","2.4.1+4c0a70e677"
"fabric-renderer-api-v1","Fabric Renderer API (v1)","3.2.2+1802ada577"
"fabric-renderer-indigo","Fabric Renderer - Indigo","1.5.3+85287f9f77"
"fabric-renderer-registries-v1","Fabric Renderer Registries (v1)","3.2.47+df3654b377"
"fabric-rendering-data-attachment-v1","Fabric Rendering Data Attachment (v1)","0.3.39+92a0d36777"
"fabric-rendering-fluids-v1","Fabric Rendering Fluids (v1)","3.0.29+1802ada577"
"fabric-rendering-v0","Fabric Rendering (v0)","1.1.50+df3654b377"
"fabric-rendering-v1","Fabric Rendering (v1)","3.0.9+1802ada577"
"fabric-resource-conditions-api-v1","Fabric Resource Conditions API (v1)","2.3.9+1802ada577"
"fabric-resource-loader-v0","Fabric Resource Loader (v0)","0.11.12+fb82e9d777"
"fabric-screen-api-v1","Fabric Screen API (v1)","2.0.9+1802ada577"
"fabric-screen-handler-api-v1","Fabric Screen Handler API (v1)","1.3.34+1802ada577"
"fabric-sound-api-v1","Fabric Sound API (v1)","1.0.14+1802ada577"
"fabric-transfer-api-v1","Fabric Transfer API (v1)","3.3.6+8dd72ea377"
"fabric-transitive-access-wideners-v1","Fabric Transitive Access Wideners (v1)","4.3.2+1802ada577"
"fabricloader","Fabric Loader","0.19.2"
"fallingleaves","Falling Leaves","1.15.6"
"farm_and_charm","[Let's Do] Farm & Charm","1.0.14"
"farmersdelight","Farmer's Delight","1.20.1-2.4.1+refabricated"
"ferritecore","FerriteCore","6.0.1"
"fetzisasiandeco","Fetzi's Asian Decoration","1.7.4"
"firstperson","FirstPerson","2.7.1"
"forgeconfigapiport","Forge Config API Port","8.0.3"
"friendsandfoes","Friends&Foes","3.0.9"
"frozenlib","FrozenLib","1.9.3-mc1.20.1"
"functionalstorage","Functional Storage","1.1.0-release"
"furniture","[Let's Do] Furniture","1.0.4"
"fzzy_config","Fzzy Config","0.7.6+1.20.1"
"gaboulibs","gaboulibs","1.7.1"
"galosphere","Galosphere","1.20.1-1.5.0"
"geckolib","GeckoLib 4","4.8.3"
"glitchcore","GlitchCore","0.0.1.1"
"globalpacks","Global Packs","19.3.7"
"grapplemod","Grappling Hook Mod","1.99.0+1.20.1.beta.fabric"
"grassoverhaul","Grass Overhaul","25.1.31"
"guardribbits","Guard Ribbits","1.20.1-Fabric-1.0.4"
"guardvillagers","GuardVillagers","2.0.9-1.20.1"
"handcrafted","Handcrafted","3.0.6"
"herbalbrews","[Let's Do] HerbalBrews","1.0.12"
"horseman","Horseman","1.3.15"
"hybrid-aquatic","Hybrid Aquatic","1.5.4"
"hybrid-birds","Hybrid Birds","1.1.0"
"hybrid-blocks","Hybrid Blocks","1.2.0"
"icarus","Icarus","2.13.2"
"iceberg","Iceberg","1.1.25"
"immersive_aircraft","Immersive Aircraft","1.4.0+1.20.1"
"immersive_armors","Immersive Armors","1.7.2+1.20.1"
"immersive_melodies","Immersive Melodies","0.6.1+1.20.1"
"incendium","Incendium","5.3.5"
"indium","Indium","1.0.36+mc1.20.1"
"inventorymanagement","Inventory Management","1.3.1"
"io_github_douira_glsl-transformer","glsl-transformer","2.0.1"
"iris","Iris","1.7.6+mc1.20.1"
"ironchest","Iron Chests","2.0.2"
"jade","Jade","11.13.1+fabric"
"jadeaddons","Jade Addons","5.5.1+fabric"
"jankson","Jankson","6.0.0+j1.2.3"
"java","OpenJDK 64-Bit Server VM","21"
"kambrik","Kambrik","6.1.1+1.20.1"
"keybindfixtxf","Keybind Fix TXF","1.1.1"
"kirin","Kirin UI","1.15.6+1.20.1"
"kiwi","Kiwi Library","11.10.2+fabric"
"krypton","Krypton","0.2.3"
"kuma_api","KumaAPI","20.1.12"
"lambdynlights","LambDynamicLights","4.4.0+1.20.1"
"lambdynlights_api","LambDynamicLights (API)","4.4.0+1.20.1"
"leahs-immersive-thunder","Immersive Thunder","1.20.1+1.2.2"
"leavesbegone","Leaves Be Gone","8.0.0"
"legendarytooltips","Legendary Tooltips","1.4.5"
"letsdoaddon-structures","[Let's Do Addon] Structures","1.7.2"
